Band,Frequency (nm)
BAND_1,900.656
BAND_2,905.393
BAND_3,910.129
BAND_4,914.866
BAND_5,919.602
BAND_6,924.339
BAND_7,929.075
BAND_8,933.812
BAND_9,938.549
BAND_10,943.285
BAND_11,948.022
BAND_12,952.758
BAND_13,957.495
BAND_14,962.231
BAND_15,966.968
BAND_16,971.704
BAND_17,976.441
BAND_18,981.178
BAND_19,985.914
BAND_20,990.651
BAND_21,995.387
BAND_22,1000.12
BAND_23,1004.86
BAND_24,1009.6
BAND_25,1014.33
BAND_26,1019.07
BAND_27,1023.81
BAND_28,1028.54
BAND_29,1033.28
BAND_30,1038.02
BAND_31,1042.75
BAND_32,1047.49
BAND_33,1052.23
BAND_34,1056.96
BAND_35,1061.7
BAND_36,1066.44
BAND_37,1071.17
BAND_38,1075.91
BAND_39,1080.65
BAND_40,1085.38
BAND_41,1090.12
BAND_42,1094.85
BAND_43,1099.59
BAND_44,1104.33
BAND_45,1109.06
BAND_46,1113.8
BAND_47,1118.54
BAND_48,1123.27
BAND_49,1128.01
BAND_50,1132.75
BAND_51,1137.48
BAND_52,1142.22
BAND_53,1146.96
BAND_54,1151.69
BAND_55,1156.43
BAND_56,1161.17
BAND_57,1165.9
BAND_58,1170.64
BAND_59,1175.38
BAND_60,1180.11
BAND_61,1184.85
BAND_62,1189.59
BAND_63,1194.32
BAND_64,1199.06
BAND_65,1203.8
BAND_66,1208.53
BAND_67,1213.27
BAND_68,1218.01
BAND_69,1222.74
BAND_70,1227.48
BAND_71,1232.22
BAND_72,1236.95
BAND_73,1241.69
BAND_74,1246.42
BAND_75,1251.16
BAND_76,1255.9
BAND_77,1260.63
BAND_78,1265.37
BAND_79,1270.11
BAND_80,1274.84
BAND_81,1279.58
BAND_82,1284.32
BAND_83,1289.05
BAND_84,1293.79
BAND_85,1298.53
BAND_86,1303.26
BAND_87,1308
BAND_88,1312.74
BAND_89,1317.47
BAND_90,1322.21
BAND_91,1326.95
BAND_92,1331.68
BAND_93,1336.42
BAND_94,1341.16
BAND_95,1345.89
BAND_96,1350.63
BAND_97,1355.37
BAND_98,1360.1
BAND_99,1364.84
BAND_100,1369.58
BAND_101,1374.31
BAND_102,1379.05
BAND_103,1383.79
BAND_104,1388.52
BAND_105,1393.26
BAND_106,1397.99
BAND_107,1402.73
BAND_108,1407.47
BAND_109,1412.2
BAND_110,1416.94
BAND_111,1421.68
BAND_112,1426.41
BAND_113,1431.15
BAND_114,1435.89
BAND_115,1440.62
BAND_116,1445.36
BAND_117,1450.1
BAND_118,1454.83
BAND_119,1459.57
BAND_120,1464.31
BAND_121,1469.04
BAND_122,1473.78
BAND_123,1478.52
BAND_124,1483.25
BAND_125,1487.99
BAND_126,1492.73
BAND_127,1497.46
BAND_128,1502.2
BAND_129,1506.94
BAND_130,1511.67
BAND_131,1516.41
BAND_132,1521.15
BAND_133,1525.88
BAND_134,1530.62
BAND_135,1535.35
BAND_136,1540.09
BAND_137,1544.83
BAND_138,1549.56
BAND_139,1554.3
BAND_140,1559.04
BAND_141,1563.77
BAND_142,1568.51
BAND_143,1573.25
BAND_144,1577.98
BAND_145,1582.72
BAND_146,1587.46
BAND_147,1592.19
BAND_148,1596.93
BAND_149,1601.67
BAND_150,1606.4
